Autor_norm,Afiliacion1,Afiliacion2,num_articulos
Julio Cesar Ramirez Velez,Instituto de Astronomía,,1
L Concha,Instituto de Neurobiología,,1
Leon Hecht,Universidad Nacional Autonoma de Mexico,,1
Leonardo Ledesma Domínguez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Leonid Serkin,Facultad de Ciencias,,1
Leslie Villagomez Venegas,Facultad de Estudios Superiores Aragón,,1
Liliana Peralta,Instituto de Matemáticas,,1
Lilly Tello Aguilera,Facultad de Estudios Superiores Aragón,,1
Lisandro Vazquez Aguilar,Facultad de Ciencias,,1
Lizbeth Naranjo Albarrán,Facultad de Ciencias,,1
Lorena Nunez,Facultad de Ingeniería,,1
Lubia Velazquez Lopez,Facultad de Medicina,,1
Lucas Bayones,Instituto de Fisiología Celular,,1
Lucas Cedric Cervantes Beutelspacher,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Luis Alberto,Instituto de Matemáticas,,1
Luis Angel Hernandez Miranda,Facultad de Estudios Superiores Iztacala,,1
Luis Concha,Instituto de Neurobiología,,1
Luis Eduardo Pacheco Gonzalez,Universidad Nacional Autonoma de Mexico,,1
Luis Eduardo Ramirez Montoya,Instituto de Ciencias Físicas,,1
Luis Fernando Hernandez Zimbron,Universidad Nacional Autonoma de Mexico,,1
Luis Jimenez Angeles,Facultad de Ingeniería,,1
Luis Mendieta Mejia,Facultad de Ingeniería,,1
Luis Mendoza Rodriguez,Instituto de Ingeniería,,1
Luis Morales Hernandez,Facultad de Psicología,,1
Luis Velasco,Instituto de Ingeniería,,1
Luis Álvarez Icaza,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,1
Luisa Del Carmen Garcia,Instituto de Física,,1
Luisa Garcia Canseco,Instituto de Ciencias Aplicadas y Tecnología,,1
Lukas Nellen Filla,Instituto de Ciencias Nucleares,,1
M Manea,Centro de Geociencias,,1
Manuel Alejandro Flores Chavez,Dirección General de Bibliotecas y Servicios Digitales de Información,,1
Manuel Alejandro Ramirez Cabrera,Instituto de Energías Renovables,,1
Manuel Espinosa Garcia,Escuela Nacional de Estudios Superiores Unidad Morelia,Centro de Ciencias Matemáticas,1
Manuel Manzano Calixto,Facultad de Estudios Superiores Aragón,,1
Marco Antonio Lopez Vega,Instituto de Geografía,,1
Marcos Bernal Romero,Universidad Nacional Autonoma de Mexico,,1
Margarita Rosado Solis,Instituto de Astronomía,,1
Maria Eugenia Allende Arandia,Instituto de Ingeniería,,1
Maria Fernanda Castro Colin,Universidad Nacional Autonoma de Mexico,,1
Maria Fernanda Gil Leyva,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Maria Garcia Santiago,Instituto de Ciencias Aplicadas y Tecnología,,1
Maria Julieta Mateos,Universidad Nacional Autonoma de Mexico,,1
Maria del Pilar Corona Lira,Facultad de Ingeniería,,1
Mariano Rivera,Instituto de Neurobiología,,1
Marina Manea,Centro de Geociencias,,1
Mario Alexis Ibarra Yanez,Facultad de Estudios Superiores Cuautitlán,,1
Mario Sepulveda Hernandez,Facultad de Ingeniería,,1
Martha Alatriste Contreras,Facultad de Economía,,1
Mary Anahi Serna Bernal,Universidad Nacional Autonoma de Mexico,,1
María Cristina Verde Rodarte,Instituto de Ingeniería,,1
María del Pilar Angeles,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Mauricio Enrique Reyes Castillo,Universidad Nacional Autonoma de Mexico,,1
Mauricio Gabriel Orozco del Castillo,Facultad de Ingeniería,,1
Mauricio Garcia Vergara,Facultad de Ciencias,,1
Mauricio Reyes Ruiz,Instituto de Astronomía,,1
Mauricio del Valle Rosales,Instituto de Geofísica,,1
Mayra Lorena Diaz Sosa,Facultad de Estudios Superiores Acatlán,,1
Mayra Olguin Rosas,Facultad de Estudios Superiores Acatlán,,1
Michelle Gomez,Facultad de Estudios Superiores Iztacala,,1
Michelle Padilla Torres,Facultad de Estudios Superiores Aragón,,1
Michelle Reyes Camacho,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Miguel Angel Avila Rodriguez,Instituto de Física,,1
Miguel Angel Banuelos Saucedo,Instituto de Ciencias Aplicadas y Tecnología,,1
Miguel Angel Veloz Lucas,Facultad de Ciencias,,1
Miguel Moctezuma Flores,Facultad de Ingeniería,,1
Miguel Morales Sandoval,Facultad de Ingeniería,,1
Miguel Murguía Romero,Instituto de Biología,,1
Miguel Raggi,Escuela Nacional de Estudios Superiores Unidad Morelia,Centro de Ciencias Matemáticas,1
Miguel Uh Zapata,Facultad de Ciencias,,1
Miguel Ángel Padilla Castañeda,Instituto de Ciencias Aplicadas y Tecnología,,1
Monica Borunda Pacheco,Facultad de Ciencias,,1
Moubariz Garaev,Centro de Ciencias Matemáticas,,1
Mónica Vázquez Hernández,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Nahum Contreras Perez,Facultad de Ingeniería,,1
Naser Qureshi,Instituto de Ciencias Aplicadas y Tecnología,,1
Natalia Guerrero Ceron,Instituto de Ingeniería,,1
Natalia Jonard Perez,Facultad de Ciencias,,1
Nava Flores Mauricio,Facultad de Ingeniería,,1
Nelly Selem Mojica,Centro de Ciencias Matemáticas,,1
Nidia Mendoza Andrade,Facultad de Estudios Superiores Cuautitlán,,1
Nora Isabel Pérez Quezadas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Norberto Encinas Rodriguez,Instituto de Fisiología Celular,,1
Néstor González Cabrera,Facultad de Ingeniería,,1
Orlando Castellanos Diaz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,1
Oscar Alfredo Jaramillo Salgado,Instituto de Energías Renovables,,1
Oscar Arana Hernández,Facultad de Ingeniería,,1
Osvaldo Ponce Hernandez,Instituto de Ciencias Aplicadas y Tecnología,,1
Pablo Lara Martinez,Facultad de Ciencias,,1
Pablo Samuel Schabes Retchkiman,Instituto de Física,,1
Paola Innes,Universidad Nacional Autonoma de Mexico,,1
Patricia Garrido Villegas,Dirección General de Bibliotecas y Servicios Digitales de Información,,1
Patricio Javier Valadés Pelayo,Instituto de Energías Renovables,,1
Paul Carrillo Mora,Facultad de Medicina,,1
Paula Hernandez Ruiz,Facultad de Estudios Superiores Aragón,,1
Pedro A Quinto Su,Instituto de Ciencias Nucleares,,1
Pedro Cortes Guerrero,Instituto de Geofísica,,1
Peter O Hess,Instituto de Ciencias Nucleares,,1
R Michel,Instituto de Astronomía,,1
Rafael Bayareh Mancilla,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,1
Ranulfo Rodriguez Sobreyra,Instituto de Ciencias del Mar y Limnología,,1
Rashid Flores Nino,Instituto de Ciencias Aplicadas y Tecnología,,1
Raul Arturo Espejel Morales,Facultad de Ciencias,,1
Raul Dali Cruz Morales,Facultad de Estudios Superiores Cuautitlán,,1
Raul Galindo Hernandez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Raymundo Vazquez Martinez,Facultad de Ciencias,,1
Regina Rios Lopez,Facultad de Ciencias,,1
Renato Lemus,Instituto de Ciencias Nucleares,,1
René Dávila,Facultad de Ingeniería,,1
Reymundo Itza Balam,Facultad de Ciencias,,1
Ricardo Daniel Fernandez Noguez,Universidad Nacional Autonoma de Mexico,,1
Ricardo Isaac Cazares Ramirez,Facultad de Ingeniería,,1
Ricardo Lopez Villafan,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Ricardo Loth Zavala Reyes,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Ricardo Torres Mendoza,Facultad de Ingeniería,,1
Ricardo Villarreal Martinez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Rita Rodriguez Martinez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Roberto Diaz Peregrino,Facultad de Medicina,,1
Roberto de Jesús León Montiel,Instituto de Ciencias Nucleares,,1
Rodolfo Gabriel Camacho Velazquez,Facultad de Ingeniería,,1
Rodrigo Fernando Velazquez Cruz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Rodrigo M Lopez Sanchez,Facultad de Odontología,,1
Rodrigo del Moral Gonzalez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Rosa Maria Mariscal Romero,Facultad de Ingeniería,,1
Rosalinda Monreal Jimenez,Universidad Nacional Autonoma de Mexico,,1
Roxana Mitzaye Del Castillo Vazquez,Facultad de Ciencias,,1
Ruben Omar Azuara Dominguez,Facultad de Ingeniería,,1
Ruth Selene Fuentes Garcia,Facultad de Ciencias,,1
Salvador Montoya Alvarez,Instituto de Ciencias Aplicadas y Tecnología,,1
Sandra Gonzalez Gallardo,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Santiago Castillo Ramirez,Centro de Ciencias Genómicas,,1
Sebastian Lopez Juarez,Instituto de Geofísica,,1
Sebastian Pujalte,Instituto de Fisiología Celular,,1
Sergio M Alcocer,Instituto de Ingeniería,,1
Sergio Parra,Instituto de Fisiología Celular,,1
Sergio Quezada García,Facultad de Ingeniería,,1
Sergio Teodoro Vite,Facultad de Ingeniería,,1
Silvia Raquel García Benítez,Instituto de Ingeniería,,1
Sinuhe David Hernandez Guevara,Centro de Estudios en Computación Avanzada,,1
Sofia Magdalena Borrel Miller,Universidad Nacional Autonoma de Mexico,,1
Sofia Samario,Instituto de Ciencias Físicas,,1
Stephane Couturier,Instituto de Geografía,,1
Stephanie Colette Thebault,Escuela Nacional de Estudios Superiores Unidad Juriquilla,Instituto de Neurobiología,1
Stephany Ortuño Chanelo,Facultad de Ingeniería,,1
Susana Magallon,Instituto de Biología,,1
Tetyana Baydyk,Instituto de Ciencias Aplicadas y Tecnología,,1
Thania Balducci,Instituto de Neurobiología,,1
Tomas Basile,Facultad de Ciencias,,1
Ubaldo Melo Samper Palacios,Instituto de Biología,,1
Ulises Olivares Pinto,Escuela Nacional de Estudios Superiores Unidad Juriquilla,,1
Ulises Rodriguez Dominguez,Universidad Nacional Autonoma de Mexico,,1
V C Manea,Centro de Geociencias,,1
V Martinez,Universidad Nacional Autonoma de Mexico,,1
Valeria Mateo Estrada,Centro de Ciencias Genómicas,,1
Vanessa Sattele,Centro de Investigaciones de Diseño Industrial,,1
Viankail Cedillo Castelan,Universidad Nacional Autonoma de Mexico,,1
Victor Hernandez Santamaria,Instituto de Matemáticas,,1
Victor Leonardo Teja Juarez,Facultad de Ingeniería,,1
Victor Manuel Velasco Herrera,Instituto de Geofísica,,1
Victor Martinez Pozos,Universidad Nacional Autonoma de Mexico,,1
Victor Sanchez Cordero,Instituto de Biología,,1
Viktor Monroy,Instituto de Fisiología Celular,,1
Vlad Constantin Manea,Centro de Geociencias,,1
Víctor Lomas Barrie,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Víctor Manuel Corza Vargas,Centro de Estudios en Computación Avanzada,,1
Wilder Durante Gomez,Universidad Nacional Autonoma de Mexico,,1
Xavier Gongora,Universidad Nacional Autonoma de Mexico,,1
Yael Josue Badillo Santos,Facultad de Ingeniería,,1
Yazmin Mariela Hernandez Rodriguez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,1
Yoscelina Estrella Martinez Lopez,Universidad Nacional Autonoma de Mexico,,1
Yuri Salazar Flores,Facultad de Ciencias,,1
Zoe Leyva Acosta,Facultad de Ciencias,,1
